data,close,rsi_force,rsi_oversold,rsi_overbought,rsi_above50,rsi_cross50,macd_force,macd_signal_force,macd_hist,macd_hist_dir,macd_cross,price_sma50_force,price_sma200_force,sma_trend_force,ema_short_force,golden_death_cross,ema_cross,bb_position,bb_vol_force,bb_above_upper,bb_below_lower,obv_trend_force,obv_cross,vol_force,vol_high,label
2021-12-02,28.36,0.052716,0.0,0.0,1.0,0.0,0.007661,0.003169,0.002246,-1.0,0.0,0.00968,0.035462,0.02579,0.00922,0.0,0.0,0.358872,0.084928,0.0,0.0,0.000503,0.0,0.35919,1.0,1
2021-12-03,28.76,0.096705,0.0,0.0,1.0,0.0,0.007626,0.00406,0.001783,-1.0,0.0,0.015408,0.042424,0.027034,0.008659,0.0,0.0,0.463362,0.076645,0.0,0.0,0.000839,0.0,0.072771,0.0,0
2021-12-06,28.89,0.111152,0.0,0.0,1.0,0.0,0.007689,0.004786,0.001451,-1.0,0.0,0.016573,0.04474,0.028188,0.008322,0.0,0.0,0.466278,0.060432,0.0,0.0,0.00198,0.0,-0.152054,0.0,0
2021-12-07,29.36,0.163255,0.0,0.0,1.0,0.0,0.008294,0.005488,0.001403,-1.0,0.0,0.023738,0.052782,0.02908,0.008761,0.0,0.0,0.591467,0.05342,0.0,0.0,0.00415,0.0,0.037531,0.0,-1
2021-12-08,29.35,0.161695,0.0,0.0,1.0,0.0,0.008654,0.006121,0.001267,-1.0,0.0,0.022694,0.052421,0.029762,0.008887,0.0,0.0,0.531132,0.051638,0.0,0.0,0.004801,0.0,-0.126256,0.0,-1
2021-12-09,29.29,0.151713,0.0,0.0,1.0,0.0,0.008752,0.006647,0.001052,-1.0,0.0,0.020906,0.050682,0.029808,0.008699,0.0,0.0,0.459918,0.036599,0.0,0.0,0.00434,0.0,-0.150846,0.0,0
2021-12-10,29.65,0.196334,0.0,0.0,1.0,0.0,0.009214,0.00716,0.001027,-1.0,0.0,0.026055,0.056246,0.030236,0.009033,0.0,0.0,0.551489,0.020842,0.0,0.0,0.00445,0.0,-0.403341,0.0,0
2021-12-13,29.47,0.163383,0.0,0.0,1.0,0.0,0.009222,0.007573,0.000825,-1.0,0.0,0.022274,0.052734,0.030496,0.008779,0.0,0.0,0.431406,0.009625,0.0,0.0,0.003876,0.0,-0.321743,0.0,0
2021-12-14,29.12,0.099941,0.0,0.0,1.0,0.0,0.008649,0.007788,0.00043,-1.0,0.0,0.015632,0.046218,0.030608,0.007808,0.0,0.0,0.251327,-0.003971,0.0,0.0,0.002632,0.0,-0.217133,0.0,0
2021-12-15,29.3,0.126328,0.0,0.0,1.0,0.0,0.008344,0.007899,0.000222,-1.0,0.0,0.018252,0.048629,0.030404,0.007275,0.0,0.0,0.289459,-0.041973,0.0,0.0,0.002385,0.0,-0.224668,0.0,0
2021-12-16,29.69,0.182266,0.0,0.0,1.0,0.0,0.008535,0.008026,0.000254,1.0,0.0,0.024542,0.054502,0.03,0.007439,0.0,0.0,0.432847,-0.088263,0.0,0.0,0.002923,0.0,-0.210159,0.0,0
2021-12-17,28.99,0.052064,0.0,0.0,1.0,0.0,0.007643,0.00795,-0.000153,-1.0,-1.0,0.012769,0.041945,0.029192,0.006178,0.0,0.0,0.014371,-0.206235,0.0,0.0,0.00205,0.0,0.036386,0.0,0
2021-12-20,28.16,-0.077644,0.0,0.0,0.0,-1.0,0.005731,0.007506,-0.000888,-1.0,0.0,-0.001585,0.026785,0.028369,0.003664,0.0,0.0,-0.822946,-0.366449,0.0,0.0,-7.5e-05,-1.0,0.086407,0.0,0
2021-12-21,28.2,-0.070793,0.0,0.0,0.0,0.0,0.004214,0.006848,-0.001317,-1.0,0.0,-0.000734,0.026935,0.027668,0.001833,0.0,0.0,-0.869453,-0.393074,0.0,0.0,-0.001164,0.0,-0.360071,0.0,0
2021-12-22,28.16,-0.077112,0.0,0.0,0.0,0.0,0.002918,0.006062,-0.001572,-1.0,0.0,-0.001103,0.025687,0.026789,0.000391,0.0,0.0,-0.870185,-0.372087,0.0,0.0,-0.002446,0.0,-0.429137,0.0,0
2021-12-23,28.33,-0.044598,0.0,0.0,0.0,0.0,0.0021,0.005269,-0.001585,-1.0,0.0,0.002257,0.028019,0.025764,-0.000356,0.0,-1.0,-0.636239,-0.357251,0.0,0.0,-0.003012,0.0,-0.475071,0.0,0
2021-12-27,28.75,0.03306,0.0,0.0,1.0,1.0,0.002016,0.004619,-0.001301,1.0,0.0,0.009927,0.034703,0.024784,-0.000122,0.0,0.0,-0.257336,-0.35784,0.0,0.0,-0.002806,0.0,-0.273058,0.0,0
2021-12-28,28.78,0.038559,0.0,0.0,1.0,0.0,0.001968,0.004089,-0.00106,1.0,0.0,0.010768,0.034625,0.023866,0.000104,0.0,1.0,-0.198289,-0.355273,0.0,0.0,-0.002196,0.0,-0.417921,0.0,1
2021-12-29,28.54,-0.009943,0.0,0.0,0.0,-1.0,0.001577,0.003586,-0.001005,1.0,0.0,0.006958,0.029954,0.023001,-0.000172,0.0,-1.0,-0.391898,-0.34688,0.0,0.0,-0.002189,0.0,-0.327299,0.0,1
2021-12-30,28.45,-0.02827,0.0,0.0,0.0,0.0,0.001126,0.003094,-0.000984,1.0,0.0,0.005734,0.027886,0.022155,-0.000535,0.0,0.0,-0.435406,-0.348678,0.0,0.0,-0.002749,0.0,-0.2046,0.0,1
2022-01-03,29.09,0.099398,0.0,0.0,1.0,1.0,0.001649,0.002805,-0.000578,1.0,0.0,0.016472,0.038492,0.022034,0.000384,0.0,1.0,0.180423,-0.353442,0.0,0.0,-0.002424,0.0,-0.052399,0.0,1
